price,ratings,guests,bathrooms,room_type,property_number_of_reviews,is_superhost,num_bedrooms,num_baths,surroundings
350.0,5.0,4.0,1.0,Hotel room,1.0,False,1.0,1.0,"{""cats"": {""shopping"": [98, 2251, 9], ""nightlife"": [10, 106, 9], ""dining"": [48, 416, 15], ""lodging"": [9, 115, 27], ""cafe"": [6, 95, 39], ""landmark"": [4, 51, 43], ""grocery"": [4, 53, 44], ""entertainment"": [10, 131, 55], ""fitness_sport"": [8, 67, 64], ""park_green"": [5, 15, 84], ""culture"": [3, 37, 94], ""transit"": [1, 13, 140]}, ""landmarks"": [[""Bryant Park"", 161], [""Rockefeller Center"", 283], [""Times Square"", 327], [""One Vanderbilt"", 393], [""Summit One Vanderbilt"", 443], [""Top of the Rock"", 454], [""Grand Central Terminal"", 472], [""Radio City Music Hall"", 504], [""St. Patrick's Cathedral"", 569], [""Waldorf Astoria"", 693], [""Herald Square"", 698], [""Chrysler Building"", 702], [""The Morgan Library & Museum"", 706], [""Museum of Modern Art"", 742]]}"
610.0,4.1,2.0,1.0,Private room,10.0,False,1.0,1.0,"{""cats"": {""shopping"": [39, 2171, 13], ""dining"": [41, 448, 33], ""entertainment"": [8, 165, 40], ""cafe"": [6, 87, 40], ""culture"": [1, 34, 74], ""landmark"": [5, 50, 75], ""park_green"": [2, 14, 83], ""lodging"": [11, 136, 85], ""transit"": [1, 11, 88], ""nightlife"": [10, 113, 92], ""grocery"": [2, 48, 95], ""fitness_sport"": [3, 70, 104]}, ""landmarks"": [[""Bryant Park"", 127], [""Times Square"", 212], [""Rockefeller Center"", 301], [""One Vanderbilt"", 497], [""Top of the Rock"", 511], [""Summit One Vanderbilt"", 543], [""Radio City Music Hall"", 547], [""Grand Central Terminal"", 580], [""Herald Square"", 655], [""St. Patrick's Cathedral"", 656], [""The Morgan Library & Museum"", 745], [""Empire State Building"", 785], [""Museum of Modern Art"", 788]]}"
343.0,4.78,5.0,1.0,Entire home/apt,180.0,True,1.0,1.0,"{""cats"": {""fitness_sport"": [14, 174, 12], ""shopping"": [147, 1806, 17], ""entertainment"": [16, 166, 22], ""landmark"": [6, 44, 24], ""dining"": [71, 634, 25], ""lodging"": [13, 138, 25], ""nightlife"": [9, 135, 32], ""grocery"": [8, 73, 36], ""transit"": [5, 24, 45], ""cafe"": [9, 90, 46], ""culture"": [6, 56, 69], ""park_green"": [1, 7, 100]}, ""landmarks"": [[""Herald Square"", 18], [""Empire State Building"", 201], [""Madison Square Garden"", 383], [""Madison Square Park"", 562], [""The Morgan Library & Museum"", 633], [""Bryant Park"", 670], [""Flatiron Building"", 790]]}"
284.1,4.91,3.0,1.0,Entire home/apt,11.0,False,1.0,1.0,"{""cats"": {""shopping"": [201, 1957, 17], ""nightlife"": [13, 131, 37], ""lodging"": [17, 121, 40], ""cafe"": [13, 98, 41], ""dining"": [63, 604, 45], ""grocery"": [8, 70, 66], ""entertainment"": [7, 126, 85], ""fitness_sport"": [7, 119, 95], ""park_green"": [1, 10, 119], ""transit"": [1, 18, 119], ""landmark"": [5, 46, 127], ""culture"": [2, 35, 141]}, ""landmarks"": [[""Herald Square"", 99], [""Empire State Building"", 276], [""Bryant Park"", 299], [""Madison Square Garden"", 492], [""Times Square"", 496], [""The Morgan Library & Museum"", 513], [""One Vanderbilt"", 681], [""Summit One Vanderbilt"", 723], [""Grand Central Terminal"", 743]]}"
595.0,4.8,3.0,1.0,Entire home/apt,59.0,False,1.0,1.0,"{""cats"": {""shopping"": [68, 2189, 18], ""dining"": [47, 435, 19], ""lodging"": [16, 126, 45], ""cafe"": [6, 87, 51], ""grocery"": [3, 50, 56], ""landmark"": [3, 50, 56], ""entertainment"": [14, 159, 57], ""park_green"": [2, 14, 68], ""nightlife"": [11, 105, 79], ""culture"": [1, 35, 81], ""fitness_sport"": [5, 65, 84], ""transit"": [2, 10, 116]}, ""landmarks"": [[""Bryant Park"", 157], [""Times Square"", 239], [""Rockefeller Center"", 267], [""Top of the Rock"", 473], [""One Vanderbilt"", 481], [""Radio City Music Hall"", 511], [""Summit One Vanderbilt"", 529], [""Grand Central Terminal"", 561], [""St. Patrick's Cathedral"", 616], [""Herald Square"", 689], [""Museum of Modern Art"", 751], [""The Morgan Library & Museum"", 757], [""Waldorf Astoria"", 769], [""Chrysler Building"", 790]]}"
81.22,2.67,2.0,1.0,Entire home/apt,3.0,False,1.0,1.0,"{""cats"": {""dining"": [71, 414, 21], ""fitness_sport"": [13, 54, 23], ""lodging"": [17, 108, 24], ""shopping"": [192, 2255, 30], ""entertainment"": [11, 129, 33], ""nightlife"": [14, 98, 37], ""landmark"": [2, 55, 57], ""cafe"": [10, 99, 64], ""grocery"": [10, 47, 65], ""park_green"": [4, 15, 66], ""culture"": [4, 31, 87], ""transit"": [0, 13, 183]}, ""landmarks"": [[""Bryant Park"", 217], [""Rockefeller Center"", 247], [""Times Square"", 368], [""One Vanderbilt"", 379], [""Top of the Rock"", 396], [""Summit One Vanderbilt"", 433], [""Radio City Music Hall"", 447], [""Grand Central Terminal"", 449], [""St. Patrick's Cathedral"", 505], [""Waldorf Astoria"", 636], [""Chrysler Building"", 680], [""Museum of Modern Art"", 686], [""The Morgan Library & Museum"", 738], [""Herald Square"", 758]]}"
858.17,4.81,6.0,2.0,Entire home/apt,21.0,False,2.0,2.0,"{""cats"": {""dining"": [63, 528, 6], ""shopping"": [338, 1920, 7], ""nightlife"": [20, 115, 19], ""cafe"": [9, 102, 25], ""grocery"": [6, 69, 53], ""entertainment"": [10, 195, 54], ""fitness_sport"": [5, 148, 58], ""lodging"": [7, 133, 64], ""landmark"": [2, 31, 74], ""culture"": [2, 44, 101], ""park_green"": [2, 7, 107], ""transit"": [0, 20, 162]}, ""landmarks"": [[""Times Square"", 267], [""Bryant Park"", 325], [""Herald Square"", 365], [""Madison Square Garden"", 502], [""Empire State Building"", 604], [""Rockefeller Center"", 683]]}"
233.85,5.0,2.0,1.0,Entire home/apt,1.0,False,1.0,1.0,"{""cats"": {""shopping"": [231, 1779, 6], ""dining"": [100, 620, 17], ""nightlife"": [19, 136, 19], ""grocery"": [8, 75, 19], ""culture"": [6, 58, 23], ""lodging"": [20, 142, 32], ""fitness_sport"": [18, 168, 37], ""entertainment"": [26, 161, 41], ""landmark"": [7, 44, 50], ""transit"": [5, 26, 56], ""cafe"": [15, 91, 67], ""park_green"": [1, 7, 122]}, ""landmarks"": [[""Herald Square"", 24], [""Empire State Building"", 163], [""Madison Square Garden"", 437], [""Madison Square Park"", 527], [""The Morgan Library & Museum"", 597], [""Bryant Park"", 677], [""Flatiron Building"", 762]]}"
401.5,4.88,4.0,1.0,Entire home/apt,16.0,True,1.0,1.0,"{""cats"": {""transit"": [1, 17, 5], ""dining"": [30, 492, 10], ""shopping"": [63, 2132, 21], ""nightlife"": [6, 107, 27], ""cafe"": [9, 98, 33], ""landmark"": [7, 41, 46], ""entertainment"": [9, 90, 46], ""culture"": [7, 40, 59], ""grocery"": [2, 60, 63], ""fitness_sport"": [8, 88, 78], ""park_green"": [4, 13, 87], ""lodging"": [2, 120, 119]}, ""landmarks"": [[""Bryant Park"", 37], [""One Vanderbilt"", 261], [""Summit One Vanderbilt"", 303], [""Grand Central Terminal"", 343], [""Times Square"", 430], [""Rockefeller Center"", 469], [""The Morgan Library & Museum"", 515], [""Chrysler Building"", 571], [""Herald Square"", 585], [""Top of the Rock"", 606], [""Radio City Music Hall"", 656], [""Empire State Building"", 657], [""St. Patrick's Cathedral"", 670], [""Waldorf Astoria"", 708]]}"
308.12,4.84,4.0,1.0,Entire home/apt,225.0,False,1.0,1.0,"{""cats"": {""dining"": [79, 620, 7], ""lodging"": [19, 141, 9], ""shopping"": [174, 1751, 13], ""fitness_sport"": [17, 179, 16], ""nightlife"": [15, 139, 25], ""grocery"": [8, 73, 28], ""entertainment"": [21, 164, 33], ""landmark"": [6, 46, 37], ""cafe"": [11, 91, 41], ""culture"": [6, 58, 46], ""transit"": [5, 24, 59], ""park_green"": [1, 7, 121]}, ""landmarks"": [[""Herald Square"", 37], [""Empire State Building"", 198], [""Madison Square Garden"", 401], [""Madison Square Park"", 536], [""The Morgan Library & Museum"", 632], [""Bryant Park"", 689], [""Flatiron Building"", 765]]}"
