index,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,city,surroundings_50m
4659,,Centrum-Oost,52.36147,4.89102,Private room,115,1,26,2.25,6,86,26,holland,"[{""name"": ""NFT Playground Amsterdam"", ""amenity"": ""community_centre""}, {""leisure"": ""garden""}, {""name"": ""Soma Mission of Sacred Plants"", ""shop"": ""cannabis""}, {""name"": ""Poopy Cat"", ""shop"": ""pet""}, {""name"": ""Koek, Schaeffer & van Tijen"", ""amenity"": ""pharmacy""}, {""amenity"": ""ticket_validator""}]"
4662,,Centrum-Oost,52.37228,4.92388,Entire home/apt,102,21,0,,1,0,0,holland,"[{""name"": ""WSV De Oostvaarders"", ""leisure"": ""marina""}, {""name"": ""WSV Albatros"", ""leisure"": ""marina""}, {""leisure"": ""playground""}, {""leisure"": ""pitch"", ""sport"": ""soccer""}]"
4664,,Centrum-Oost,52.36558,4.91107,Entire home/apt,204,1,0,,15,356,0,holland,"[{""name"": ""Roeterseiland (UvA)"", ""amenity"": ""university""}, {""name"": ""Coffee Company"", ""amenity"": ""cafe"", ""cuisine"": ""coffee_shop""}, {""name"": ""De Pizzabakkers To Go"", ""amenity"": ""fast_food"", ""brand"": ""De Pizzabakkers"", ""cuisine"": ""pizza"", ""description"": ""To Go Bar""}, {""name"": ""Het Rijwielherstellingsoord"", ""shop"": ""bicycle""}]"
4667,,Noord-West,52.416,4.88533,Entire home/apt,150,2,6,1.49,1,110,6,holland,"[{""leisure"": ""playground""}]"
4674,,Centrum-Oost,52.37057,4.90594,Private room,151,1,0,,6,0,0,holland,"[{""leisure"": ""pitch"", ""description"": ""Only one hoop, with no field or lines. In a residential area"", ""sport"": ""basketball""}]"
4677,,Centrum-West,52.37134,4.89603,Private room,155,2,17,3.59,1,99,17,holland,"[{""name"": ""The Grand"", ""tourism"": ""hotel"", ""brand"": ""Sofitel""}, {""name"": ""Proeflokaal 't Kelkje"", ""amenity"": ""pub""}, {""name"": ""Siga La Vaca"", ""amenity"": ""restaurant""}, {""name"": ""Sensi Seeds Cornershop"", ""shop"": ""growshop""}, {""name"": ""Ter"", ""amenity"": ""restaurant"", ""cuisine"": ""steak_house""}, {""name"": ""Green House"", ""shop"": ""cannabis""}, {""name"": ""Grasshopper"", ""amenity"": ""cafe""}, {""name"": ""The City Hall"", ""amenity"": ""cannabis""}, {""name"": ""Sharp Gear"", ""shop"": ""jewelry""}, {""name"": ""SH Suprmarkt"", ""shop"": ""convenience""}, {""shop"": ""convenience""}, {""name"": ""Christine le Duc"", ""shop"": ""erotic""}, {""name"": ""Vape4life"", ""shop"": ""e-cigarette""}, {""name"": ""Wok To Go"", ""amenity"": ""fast_food"", ""cuisine"": ""asian""}, {""name"": ""Amsterdam Duck Store"", ""shop"": ""gift""}, {""name"": ""Yucca"", ""shop"": ""clothes""}, {""name"": ""de Wallen"", ""tourism"": ""attraction""}]"
4688,,Centrum-West,52.36821,4.88274,Private room,269,1,1,0.6,3,45,1,holland,"[{""name"": ""Andaz Amsterdam Prinsengracht, by Hyatt"", ""tourism"": ""hotel"", ""brand"": ""ANdAZ""}, {""leisure"": ""garden""}, {""name"": ""Verse"", ""shop"": ""clothes""}, {""name"": ""De Knipkamer 352"", ""shop"": ""hairdresser""}, {""name"": ""Prinsheerlijk Antiek"", ""shop"": ""antiques""}]"
4696,,Centrum-West,52.36605,4.88405,Private room,54,3,4,0.97,1,353,4,holland,"[{""name"": ""Spijker Bar"", ""amenity"": ""bar""}]"
4715,,De Baarsjes - Oud-West,52.36045,4.86537,Entire home/apt,160,2,2,0.18,1,0,2,holland,"[{""name"": ""CriCri"", ""shop"": ""clothes""}, {""name"": ""OT301"", ""amenity"": ""community_centre""}, {""name"": ""De Stelling"", ""shop"": ""furniture""}, {""name"": ""De Amsterdamse Plusklas"", ""amenity"": ""prep_school""}, {""name"": ""Otto-bikes"", ""shop"": ""bicycle""}, {""name"": ""Fabricati"", ""shop"": ""furniture""}, {""name"": ""Staring apotheek"", ""amenity"": ""pharmacy""}, {""name"": ""Abyssinia"", ""amenity"": ""restaurant"", ""cuisine"": ""ethiopian""}, {""name"": ""Asahi sports"", ""shop"": ""sports""}, {""name"": ""John Kappetijn"", ""shop"": ""shoe_repair""}, {""name"": ""Hairsalon Abyssinia"", ""shop"": ""hairdresser""}, {""name"": ""Rangla Punjab"", ""amenity"": ""restaurant"", ""cuisine"": ""indian""}, {""name"": ""Abyssinia African grocery"", ""shop"": ""supermarket""}, {""name"": ""pipoos"", ""shop"": ""craft""}, {""name"": ""Sunny days Chineese massage"", ""shop"": ""massage""}, {""name"": ""Vief"", ""shop"": ""beauty""}, {""name"": ""Mima Fresh Mediterranean"", ""amenity"": ""fast_food"", ""cuisine"": ""middle_eastern;mediterranean""}]"
4742,,Centrum-West,52.37567,4.89436,Entire home/apt,46,1,1,0.09,3,0,1,holland,"[{""name"": ""Bershka"", ""shop"": ""clothes""}, {""name"": ""Cuddle Pub"", ""amenity"": ""restaurant"", ""cuisine"": ""burger;regional"", ""description"": ""Food & Drink & Cocktail & Music & Play""}, {""shop"": ""massage""}, {""name"": ""Nieuwendijk"", ""tourism"": ""information""}, {""name"": ""Kruidvat"", ""shop"": ""chemist""}, {""name"": ""New Yorker"", ""shop"": ""clothes""}, {""name"": ""Zumo"", ""shop"": ""clothes""}, {""name"": ""Buy 'N Fly"", ""shop"": ""gift""}, {""name"": ""Just in Case"", ""shop"": ""mobile_phone""}, {""name"": ""Vaping & More"", ""shop"": ""e-cigarette""}, {""name"": ""La Zoccola del Pacioccone"", ""amenity"": ""restaurant""}, {""name"": ""Tattoo & Gallery"", ""shop"": ""tattoo""}, {""name"": ""Souvenirs"", ""shop"": ""bag""}, {""name"": ""Solo"", ""shop"": ""clothes""}, {""name"": ""Tibet Massage"", ""shop"": ""massage""}]"
